model_name,num_species,num_reaction,deg0_min,deg0_median,deg0_max,deg0_values,deg0_num_nonzero_term,deg1_min,deg1_median,deg1_max,deg1_values,deg1_num_nonzero_term,deg2_min,deg2_median,deg2_max,deg2_values,deg2_num_nonzero_term
BIOMD0000000181,6,18,0.0,0.0,1.1102230246251565e-16,"[0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0, 0.0, 0.0]",6.0,0.9999999559013255,0.9999999995204649,0.9999999999089055,"[np.float64(0.999999999824863), np.float64(0.9999999998777029), np.float64(0.9999999956386079), np.float64(0.9999999992160669), np.float64(0.9999999999089055), np.float64(0.9999999559013255)]",42.0,0.99999999994595,0.9999999999974476,0.9999999999978466,"[np.float64(0.9999999999978466), np.float64(0.9999999999977023), np.float64(0.9999999999922301), np.float64(0.9999999999975743), np.float64(0.9999999999973208), np.float64(0.99999999994595)]",168.0
BIOMD0000000182,37,32,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",981.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7490.0
BIOMD0000000184,3,7,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",12.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",29.0
BIOMD0000000185,8,20,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0]",8.0,0.9655063282836294,0.9999927145598382,0.9999999613618816,"[np.float64(0.9982990324747256), np.float64(0.9999999613618816), np.float64(0.9999996294795104), np.float64(0.9999910066122932), np.float64(0.9655063282836294), np.float64(0.9999944225073832), np.float64(0.999998869224001), np.float64(0.9999689130325458)]",71.0,0.9996723093904208,0.9999999989281658,0.9999999999997979,"[np.float64(0.9999999978833367), np.float64(0.999999999998231), np.float64(0.9999999999997979), np.float64(0.999999999998087), np.float64(0.9996723093904208), np.float64(0.9999998597344336), np.float64(0.999999999972995), np.float64(0.9999988511617542)]",360.0
BIOMD0000000186,11,9,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",49.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",293.0
BIOMD0000000187,11,9,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",36.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",198.0
BIOMD0000000191,2,5,0.0,0.0,0.0,"[0.0, 0.0]",2.0,0.983205898051563,0.9854754375546121,0.9877449770576612,"[np.float64(0.983205898051563), np.float64(0.9877449770576612)]",6.0,0.0,0.0,0.0,"[0.0, 0.0]",8.0
BIOMD0000000193,8,6,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",130.0
BIOMD0000000194,5,3,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",9.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",33.0
BIOMD0000000197,5,10,0.0,0.0,2.220446049250313e-16,"[np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16)]",3.0,0.9470429208932561,0.9757316276921251,0.9999606569430315,"[np.float64(0.9507743352487459), np.float64(0.9470429208932561), np.float64(0.9766627049645915), np.float64(0.9757316276921251), np.float64(0.9999606569430315)]",30.0,0.0,0.0,0.5450220909034802,"[np.float64(0.5450220909034802), np.float64(0.5117456101624063), 0.0, 0.0, 0.0]",86.0
BIOMD0000000200,22,34,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,0.25422981098849096,"[0.0, np.float64(0.25422981098849096), 0.0, 0.0, np.float64(0.25422981098849096), 0.0, np.float64(0.25422981098849096), 0.0, 0.0, 0.0, np.float64(0.25422981098849096), np.float64(0.25422981098849096), 0.0, np.float64(0.25422981098849096), 0.0, 0.0, 0.0, 0.0, np.float64(0.25422981098849096), 0.0, 0.0, np.float64(0.25422981098849096)]",260.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2395.0
BIOMD0000000201,22,33,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.0,0.8530509296222322,0.991300982094644,"[np.float64(0.8495283037728858), np.float64(0.991300982094644), 0.0, np.float64(0.9212781480609924), np.float64(0.9895008889046331), 0.0, np.float64(0.8565735554715785), np.float64(0.9360818831661678), np.float64(0.9695330878684207), np.float64(0.9491149534639899), np.float64(0.9720825710563326), np.float64(0.779382998419968), np.float64(0.6719072132581883), np.float64(0.8909709716576626), np.float64(0.9889466436907273), np.float64(0.9877586884586219), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",337.0,0.0,0.0,0.7430070093814319,"[0.0, 0.0, 0.0, 0.0, np.float64(0.7430070093814319), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4302.0
BIOMD0000000203,5,10,0.0,0.0,1.1102230246251565e-16,"[0.0, 0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16)]",4.0,0.9685252662812783,0.9803050369793533,0.9984258021293769,"[np.float64(0.9803050369793533), np.float64(0.9803050369793549), np.float64(0.9746956025158854), np.float64(0.9685252662812783), np.float64(0.9984258021293769)]",23.0,0.0,0.0,0.6538936067959377,"[0.0, 0.0, 0.0, 0.0, np.float64(0.6538936067959377)]",98.0
BIOMD0000000204,5,10,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.0,0.9755934552107428,0.9805022009487913,"[np.float64(0.9805022009487867), np.float64(0.9805022009487913), 0.0, np.float64(0.9678029510045913), np.float64(0.9755934552107428)]",22.0,0.0,0.0,0.6750174391989021,"[0.0, 0.0, 0.0, 0.0, np.float64(0.6750174391989021)]",100.0
BIOMD0000000206,9,11,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7.0,0.0,0.290491167836447,0.5145128852862637,"[0.0, 0.0, 0.0, 0.0, np.float64(0.290491167836447), np.float64(0.3985757328264712), np.float64(0.5145128852862637), np.float64(0.30993711853452066), np.float64(0.36890908556340307)]",90.0,0.0,0.0,0.5915388945582352,"[0.0, 0.0, 0.0, 0.0, np.float64(0.5915388945582352), 0.0, np.float64(0.2043253339527772), np.float64(0.12693529928711733), 0.0]",495.0
BIOMD0000000207,6,6,0.0,0.0,1.1102230246251565e-16,"[0.0, 0.0, 0.0, np.float64(1.1102230246251565e-16), 0.0, 0.0]",4.0,0.07647187380729226,0.9999952920081001,0.9999996136128099,"[np.float64(0.9999996136128099), np.float64(0.9999983155803847), np.float64(0.9999924541719101), np.float64(0.9999981298442903), np.float64(0.07647187380729226), np.float64(0.07647187380729226)]",24.0,0.07647148156352102,0.9999949584395451,0.9999999686718845,"[np.float64(0.9999998757314917), np.float64(0.9999999686718845), np.float64(0.999991704761754), np.float64(0.9999982121173363), np.float64(0.07647148156352102), np.float64(0.07647148156352102)]",55.0
BIOMD0000000209,8,12,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.0,0.9999878901002626,0.9999999999538304,"[np.float64(0.9999999912630263), 0.0, np.float64(0.9999768225734622), np.float64(0.9999999998747453), np.float64(0.9999989576270628), np.float64(0.9999999999538304), np.float64(0.08185312702859948), np.float64(0.08185312702859948)]",46.0,0.0,0.495063095878425,0.999149674398115,"[np.float64(0.9989742573018399), 0.0, 0.0, np.float64(0.99012619175685), np.float64(0.9918909234488892), np.float64(0.999149674398115), 0.0, 0.0]",195.0
BIOMD0000000210,8,12,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.0,0.0,0.9999176107943952,"[np.float64(0.9998294426353381), 0.0, 0.0, 0.0, np.float64(0.9895931747626537), np.float64(0.9999176107943952), 0.0, 0.0]",33.0,0.0,0.0,0.9999999999797287,"[0.0, 0.0, np.float64(0.8603503701155384), 0.0, np.float64(0.9999999940448379), np.float64(0.9999999999797287), 0.0, 0.0]",191.0
BIOMD0000000211,24,21,0.0,0.0,2.220446049250313e-16,"[0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), np.float64(1.1102230246251565e-16), np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, 0.0, 0.0, 0.0, np.float64(2.220446049250313e-16), 0.0, np.float64(2.220446049250313e-16), 0.0]",23.0,0.772502188050203,0.9969861193069874,0.9999960234998759,"[np.float64(0.9999955692932234), np.float64(0.9999960234998759), np.float64(0.9999583678546667), np.float64(0.9937787430317943), np.float64(0.9883916630853589), np.float64(0.9999693619875082), np.float64(0.8168508400400886), np.float64(0.9999494939543903), np.float64(0.9999494939543916), np.float64(0.9929913707597735), np.float64(0.8229033239422296), np.float64(0.8360402634138898), np.float64(0.8241275735351079), np.float64(0.9942654478769621), np.float64(0.9942180708396647), np.float64(0.9998209834306379), np.float64(0.9998320435623952), np.float64(0.9997067907370127), np.float64(0.9998941384463946), np.float64(0.9998941384463915), np.float64(0.8219690098009964), np.float64(0.9999538158943396), np.float64(0.8153132497393015), np.float64(0.772502188050203)]",600.0,0.0,0.0,0.647838712612437,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, np.float64(0.647838712612437), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",7798.0
BIOMD0000000212,8,18,0.0,0.0,3.3306690738754696e-16,"[np.float64(3.3306690738754696e-16), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,0.0,0.0,0.9958633760897934,"[np.float64(0.9958633760897934), 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",55.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",270.0
